 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,,,Al At%,Cu At%,Mg At%,Fe At%,Mn At%,Si At%,O At%,,Type
112,29,"1,588,914","368,948","19,314",1586,366,6,6,0.977,"7,211",1587,366,"123,690","6,000","1,107",0.903,0.892,,,76.21353626,12.07194742,9.062608094,0.092240286,0,0.230600715,2.32906722,,Unknown
113,172,"1,341,698","374,849","56,426",1334,368,18,16,0.679,"18,248",1334,371,"170,538","15,446","1,088",0.919,0.843,,,80.93190681,10.50894911,1.199880012,3.839616038,1.01989801,0.149985001,2.349765023,,Secondary
114,11,"1,689,955","370,136","11,314",1688,368,4,4,"1,000","4,472",1689,368,"116,565","4,000","1,139",0.878,0.815,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
115,44,"990,364","373,205","24,971",986,369,8,8,0.887,"10,000",986,376,"36,870","7,071","1,543",0.648,0.863,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
116,12,"232,417","377,667","12,485",231,375,3,5,0.967,"5,385",231,380,"68,199","3,000","1,579",0.633,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
117,184,"294,348","388,250","51,698",286,381,18,14,0.865,"19,698",286,383,"156,038","13,914","1,447",0.691,0.922,,,55.3,22.56,20.33,0.1,0.33,0.29,1.09,,S-phase
118,161,"846,394","392,339","46,627",841,384,11,17,0.931,"18,028",843,384,"109,440","11,000","1,514",0.660,0.953,,,49.5850415,25.49745025,21.72782722,0,0.089991001,0.729927007,2.369763024,,S-phase
119,28,"371,464","397,107","19,314",368,394,6,6,0.943,"7,810",368,399,"39,806","5,814","1,343",0.745,0.903,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
120,42,"382,548","397,262","23,556",378,394,9,6,0.951,"9,220",378,399,"12,529","6,000","1,350",0.741,0.894,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
121,457,"1,259,572","415,375","104,468",1251,395,19,38,0.526,"39,850",1255,433,"72,474","19,000","2,041",0.490,0.820,,,69.29,14.56,0.23,6.79,3.73,1.59,3.81,,Secondary
122,12,"1,593,000","398,500","11,657",1591,397,4,3,"1,000","5,000",1591,397,"143,130","3,000","1,333",0.750,"1,000",,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
123,33,"177,439","403,076","20,728",175,399,5,8,0.965,"8,544",176,399,"110,556","5,000","1,516",0.660,0.917,,,80.4,11.9,0.86,3.17,0.89,0.21,2.57,,Secondary
124,169,"369,725","411,932","67,255",362,403,17,20,0.470,"21,190",371,423,"70,710","15,149","1,426",0.701,0.743,,,72.07089926,17.06388945,0,4.916883637,1.912677749,0.210294412,3.825355498,,Secondary
125,29,"1,415,362","406,466","20,142",1412,403,7,6,0.898,"7,810",1413,403,"129,806","6,000","1,347",0.742,0.853,,,88.28,5.04,1.7,1.16,0.62,0.41,2.79,,Secondary
126,26,"448,538","408,385","18,142",446,405,5,7,0.993,"7,280",448,412,"74,055","5,000","1,349",0.742,0.881,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
127,43,"466,570","419,244","31,799",463,413,7,12,0.534,"13,416",464,425,"63,435","5,632","3,101",0.322,0.748,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
128,28,"979,179","422,714","19,556",976,419,6,7,0.920,"7,810",976,425,"39,806","5,657","1,447",0.691,0.848,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
129,51,"1,671,873","423,931","26,971",1667,420,9,8,0.881,"10,000",1668,427,"36,870","7,155","1,375",0.727,0.879,,,68.77502002,15.72257806,14.13130504,0,0.190152122,0,1.180944756,,S-phase
130,67,"1,427,679","434,291","40,284",1423,426,10,14,0.519,"16,643",1423,426,"122,735","7,374","2,519",0.397,0.757,,,84.35,7.44,1.4,2.2,1.68,0.83,2.1,,Secondary
131,173,"926,194","438,673","54,770",920,429,13,19,0.725,"19,105",924,448,"83,991","13,000","1,417",0.706,0.885,,,73.61,15.52,0.36,4.45,2.11,0.32,3.63,,Secondary
132,47,"1,672,500","436,500","24,385",1669,432,7,9,0.993,"9,487",1671,432,"108,435","7,000","1,256",0.796,0.887,,,56.76,21.59,20.31,0,0.13,0.21,1,,S-phase
133,13,"1,409,731","442,885","21,556",1407,440,5,6,0.352,"6,708",1408,446,"63,435","4,243","1,742",0.574,0.619,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
134,684,"527,072","476,272","129,296",517,450,26,46,0.514,"46,690",522,450,"99,866","26,000","2,268",0.441,0.788,,,71.07,9.42,0.6,9.23,4.62,2.3,2.76,,Secondary
135,14,"575,214","458,000","12,485",573,456,4,4,"1,000","5,000",574,456,"126,870","4,000","1,020",0.981,0.933,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
136,40,"1,383,150","470,675","26,142",1379,467,9,7,0.736,"10,817",1379,474,"33,690","5,907","2,100",0.476,0.833,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
137,31,"546,048","479,113","20,142",543,476,6,7,0.960,"8,602",543,476,"125,538","5,657","1,504",0.665,0.899,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
138,19,"1,011,868","480,447","15,314",1009,478,5,5,"1,000","6,403",1010,478,"128,660","4,919","1,344",0.744,0.884,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
139,15,"1,268,100","492,100","13,071",1266,490,4,4,"1,000","5,657",1266,494,"45,000","4,000","1,137",0.880,0.968,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
140,29,"1,671,328","493,534","20,142",1668,490,6,7,0.898,"8,602",1669,497,"54,462","5,367","1,734",0.577,0.866,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
141,61,"1,198,975","497,828","28,385",1195,493,8,10,0.951,"11,180",1197,503,"63,435","8,000","1,343",0.745,0.910,,,90.4109589,2.909709029,2.649735026,0.229977002,0.229977002,0.329967003,3.239676032,,Unknown
142,38,"457,605","500,711","20,971",454,497,7,7,"1,000","8,062",456,497,"119,745","7,000","1,135",0.881,0.905,,,52.73418925,23.32382311,19.85259154,0,0.463623395,0.285306705,3.340466001,,S-phase
143,35,"1,664,843","507,386","24,385",1662,503,6,9,0.740,"9,487",1663,503,"108,435","5,578","1,949",0.513,0.814,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
144,79,"1,256,728","523,335","40,527",1251,517,12,13,0.604,"15,620",1251,529,"39,806","7,778","2,324",0.430,0.827,,,88.67302053,3.641251222,2.77370479,0.207722385,0.171065494,0.305474096,4.227761486,,Secondary
145,74,"1,316,757","526,486","32,971",1313,520,8,12,0.855,"12,649",1315,520,"108,435","8,000","1,568",0.638,0.908,,,63.82361764,17.90820918,15.81841816,0.429957004,0.139986001,0.479952005,1.399860014,,Secondary
146,14,"865,786","529,000","12,485",864,527,4,4,"1,000","5,000",864,527,"126,870","4,000","1,020",0.981,0.933,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
147,426,"969,045","545,594","106,225",960,528,19,36,0.474,"36,222",965,528,"96,340","16,769","2,376",0.421,0.856,,,72.56,4.84,0.5,8.22,6.01,6.06,1.81,,Secondary
148,22,"1,657,045","546,909","21,556",1653,543,7,7,0.595,"8,602",1653,549,"35,538","4,243","2,398",0.417,0.721,,,85.32088123,5.735153257,1.436781609,1.56848659,0.718390805,0.466954023,4.75335249,,Secondary
149,257,"1,299,142","565,068","73,841",1291,554,20,20,0.592,"22,472",1292,573,"57,724","18,783","1,045",0.957,0.817,,,71.87,18.31,0.37,5.86,1.24,0.21,2.14,,Secondary
150,29,"313,879","561,776","19,556",311,558,6,7,0.953,"7,616",312,565,"66,801","5,814","1,299",0.770,0.853,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
151,90,"1,281,867","569,278","34,627",1277,563,10,12,0.943,"12,806",1278,564,"128,660","10,000","1,266",0.790,0.909,,,83.05,8.57,5.73,0.59,0.38,0.47,1.21,,Secondary
152,26,"1,694,962","569,808","18,142",1692,567,6,6,0.993,"7,211",1692,568,"146,310","5,657","1,271",0.787,0.867,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
153,13,"400,038","570,885","12,485",398,569,4,4,"1,000","5,657",398,569,"135,000","4,000","1,450",0.690,0.897,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
154,46,"616,891","576,196","25,213",613,572,8,9,0.909,"10,296",614,572,"119,055","6,708","1,618",0.618,0.860,,,77.85016287,19.09759923,1.459765955,0.072385089,0,0.16889854,1.351188322,,Unknown
155,22,"1,664,773","576,136","18,142",1661,574,7,5,0.840,"8,062",1661,574,"150,255","4,600","1,989",0.503,0.830,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
156,17,"1,699,147","578,500","14,142",1697,576,5,5,"1,000","5,385",1698,576,"111,801","4,950","1,044",0.957,0.850,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
157,79,"823,905","582,715","32,042",819,577,10,11,0.967,"11,705",822,577,"109,983","9,839","1,180",0.847,0.898,,,53.15814282,23.04972897,20.77539477,0,0.09427292,0.483148716,2.439311808,,S-phase
158,27,"1,176,611","586,278","19,556",1174,583,6,7,0.887,"8,062",1174,583,"119,745","5,367","1,571",0.636,0.844,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
159,26,"186,615","606,038","18,728",183,604,7,5,0.932,"7,616",183,607,"23,199","5,000","1,552",0.644,0.881,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
160,14,"1,697,000","607,786","12,485",1695,606,4,4,"1,000","5,000",1695,606,"126,870","4,000","1,020",0.981,0.933,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
161,21,"1,690,976","614,452","27,799",1689,609,4,11,0.341,"11,705",1689,609,"109,983","3,726","4,213",0.237,0.646,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
162,28,"971,536","613,214","18,971",968,610,7,6,0.978,"7,211",970,610,"123,690","6,000","1,121",0.892,0.836,,,64.83307592,18.58144232,14.1142925,0.178210764,0.285137222,0,2.007841274,,S-phase
163,73,"1,098,007","617,075","31,213",1094,611,8,12,0.942,"12,166",1097,623,"80,538","8,000","1,369",0.731,0.907,,,57.54913295,21.39884393,18.62427746,0.277456647,0,0.196531792,1.953757225,,S-phase
164,31,"800,532","615,210","23,556",797,612,7,7,0.702,"9,220",798,612,"130,601","6,325","1,508",0.663,0.816,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
165,14,"452,214","616,571","13,314",450,614,4,5,0.993,"5,831",451,614,"120,964","4,000","1,468",0.681,0.848,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
166,59,"393,907","619,822","29,213",390,615,8,10,0.869,"11,180",391,615,"116,565","8,000","1,395",0.717,0.887,,,72.27277272,13.79862014,0.659934007,5.369463054,2.279772023,1.619838016,3.99960004,,Secondary
167,101,"1,489,955","623,282","40,385",1486,616,8,16,0.778,"16,492",1489,632,"75,964","8,000","2,035",0.491,0.918,,,91.95597799,3.24162081,2.311155578,0.170085043,0,0.48024012,1.84092046,,Unknown
168,72,"1,655,972","625,194","51,113",1647,621,17,8,0.346,"17,464",1647,626,"13,241","7,334","3,128",0.320,0.670,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
169,13,"1,174,115","623,885","11,899",1172,622,4,4,"1,000","5,000",1172,625,"36,870","4,000","1,159",0.863,0.897,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
170,41,"804,841","629,524","26,142",802,624,6,10,0.754,"11,180",803,624,"116,565","5,942","1,961",0.510,0.854,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
171,12,"1,710,000","631,000","11,314",1708,629,4,4,"1,000","4,472",1709,629,"116,565","4,000","1,000","1,000",0.857,,,87.67891102,5.615053548,1.811630467,1.331198078,0.3703333,0,3.192873586,,Secondary
172,804,"268,307","648,950","113,983",255,630,29,37,0.778,"37,947",260,666,"71,565","29,000","1,308",0.764,0.928,,,70.38,12.8,0.68,8.13,3.74,2,2.27,,Secondary
173,10,"116,500","633,700","11,071",115,632,3,4,"1,000","4,472",115,632,"116,565","3,000","1,236",0.809,0.909,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
174,197,"1,603,505","644,688","56,426",1596,634,16,21,0.778,"22,136",1599,634,"108,435","12,758","1,856",0.539,0.874,,,76.08617162,13.11830545,0.300878565,5.668552172,2.166325671,0.794319413,1.865447106,,Secondary
175,122,"121,811","642,549","44,870",113,638,17,9,0.761,"17,720",113,645,"16,390","9,000","1,959",0.511,0.891,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
176,448,"842,324","654,085","136,610",824,638,38,27,0.302,"44,944",824,663,"32,276","20,090","2,648",0.378,0.658,,,63.81276255,25.46509302,6.911382276,0.76015203,0,0.310062012,2.74054811,,Theta
177,70,"872,100","644,214","30,971",868,639,8,11,0.917,"11,705",871,650,"70,017","8,000","1,389",0.720,0.915,,,56.92,21.16,19.78,0,0,0.34,1.8,,S-phase
178,53,"1,057,840","643,915","27,556",1054,639,7,10,0.877,"11,180",1056,649,"63,435","7,000","1,634",0.612,0.906,,,77.67963714,12.12699928,5.896395321,2.076867988,0.584865123,0.143232275,1.492002865,,Secondary
179,14,"1,165,714","642,857","13,314",1163,641,5,4,0.993,"5,385",1163,642,"158,199","4,000","1,264",0.791,0.848,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
180,23,"806,022","647,326","18,728",804,644,4,7,0.824,"7,616",804,644,"113,199","4,000","1,636",0.611,0.885,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
181,16,"1,446,125","649,250","17,314",1444,646,4,7,0.671,"7,280",1445,646,"105,945","3,638","2,300",0.435,0.744,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
182,207,"1,315,070","662,085","54,284",1309,652,13,20,0.883,"21,541",1310,652,"111,801","13,000","1,593",0.628,0.947,,,69.48694869,19.44194419,0.460046005,5.810581058,2.110211021,0.360036004,2.330233023,,Secondary
183,69,"1,499,790","661,297","30,627",1495,656,9,11,0.924,"11,180",1499,667,"79,695","9,000","1,225",0.816,0.873,,,85.85,7.53,1.93,0.49,0,0.62,3.58,,Unknown
184,442,"1,025,192","686,059","97,255",1017,667,17,40,0.587,"41,231",1019,707,"75,964","15,037","2,877",0.348,0.917,,,70.72121636,5.291587476,0,8.862658798,5.721716515,6.561968591,2.840852256,,Secondary
185,12,"1,068,833","673,417","12,485",1067,671,4,4,0.967,"5,000",1068,671,"126,870","4,000","1,218",0.821,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
186,20,"540,450","675,250","15,314",538,673,5,5,"1,000","6,403",538,677,"38,660","4,950","1,282",0.780,0.909,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
187,21,"804,881","678,214","18,971",802,675,6,7,0.733,"7,810",802,681,"39,806","5,200","1,712",0.584,0.700,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
188,12,"1,329,000","700,000","11,314",1327,698,4,4,"1,000","4,472",1328,698,"116,565","4,000","1,000","1,000",0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
189,14,"1,536,071","704,714","15,314",1534,702,4,6,0.750,"6,325",1535,702,"108,435","3,795","1,911",0.523,0.757,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
190,73,"1,306,719","710,705","32,971",1303,704,7,13,0.844,"13,342",1305,717,"77,005","7,000","1,759",0.568,0.924,,,83.90260399,7.563972495,5.117799572,0,0.383271334,0.293089843,2.739262766,,Unknown
191,39,"1,352,269","707,756","22,971",1348,704,8,7,0.929,"9,220",1349,711,"40,601","6,641","1,387",0.721,0.857,,,92.20077992,2.799720028,1.159884012,0.619938006,0,0.509949005,2.709729027,,Unknown
192,51,"1,329,618","713,304","39,698",1326,708,8,12,0.407,"13,416",1327,708,"116,565","7,620","2,130",0.469,0.646,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
193,879,"1,518,329","745,205","139,095",1499,731,40,30,0.571,"42,942",1500,757,"27,759","30,000","1,483",0.674,0.872,,,71.48714871,18.03180318,0.330033003,5.190519052,1.95019502,0.170017002,2.840284028,,Secondary
194,44,"1,331,500","738,523","24,971",1328,735,7,8,0.887,"8,602",1329,735,"125,538","7,000","1,097",0.912,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
195,95,"239,216","743,426","36,042",233,738,12,11,0.919,"12,806",234,740,"141,340","10,733","1,187",0.843,0.896,,,73.76254759,24.04522903,0.923041421,0,0,0,1.269181955,,Theta
196,16,"755,062","742,750","13,899",753,740,4,5,"1,000","5,831",754,740,"120,964","4,000","1,234",0.810,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
197,12,"1,407,750","747,083","11,899",1406,745,4,4,"1,000","5,000",1406,749,"36,870","4,000","1,281",0.780,0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
198,16,"1,414,688","749,125","13,899",1412,747,5,4,"1,000","6,403",1412,751,"38,660","4,000","1,568",0.638,0.914,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
199,85,"146,006","757,418","35,799",142,750,8,14,0.833,"14,318",145,750,"102,095","8,000","1,746",0.573,0.904,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
200,96,"1,037,490","759,396","38,042",1032,753,12,12,0.834,"15,000",1034,753,"126,870","9,604","1,598",0.626,0.889,,,76.63,14,1.17,3.92,1.78,0.4,2.1,,Secondary
201,18,"1,704,778","757,500","15,314",1702,755,5,5,0.965,"6,403",1702,759,"38,660","4,472","1,475",0.678,0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
202,44,"1,049,886","759,727","24,971",1045,757,10,6,0.887,"10,770",1045,757,"158,199","6,000","1,773",0.564,0.889,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
203,34,"1,378,176","760,353","20,971",1375,757,7,7,0.972,"8,062",1375,758,"150,255","6,364","1,250",0.800,0.872,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
204,20,"1,157,450","763,650","17,071",1156,760,3,7,0.862,"7,616",1156,760,"113,199","3,000","2,299",0.435,0.976,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
205,13,"1,535,500","763,192","13,071",1534,761,3,5,0.956,"5,385",1534,761,"111,801","3,000","1,551",0.645,0.929,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
206,25,"1,284,660","765,180","18,728",1281,763,7,5,0.896,"8,062",1281,767,"29,745","5,000","1,712",0.584,0.862,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
207,291,"1,522,503","772,878","74,083",1512,764,21,18,0.666,"25,000",1513,781,"36,870","17,650","1,308",0.764,0.883,,,70.26,13.2,0.62,8.4,4.49,2.57,0.46,,Secondary
208,12,"1,148,000","767,000","11,314",1146,765,4,4,"1,000","4,472",1147,765,"116,565","4,000","1,000","1,000",0.857,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
209,78,"1,538,744","775,718","42,284",1535,767,8,16,0.548,"16,492",1536,767,"104,036","8,000","2,525",0.396,0.776,,,53.05819138,22.88784726,21.12724363,0,0,0.514462101,2.412255631,,S-phase
210,24,"1,444,333","770,583","21,799",1441,768,7,5,0.635,"7,616",1441,769,"156,801","5,000","1,420",0.704,0.774,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
211,50,"145,440","774,460","24,971",142,770,7,9,"1,000","9,487",144,770,"108,435","7,000","1,272",0.786,0.917,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
212,397,"1,043,681","785,686","108,225",1021,778,37,20,0.426,"37,855",1021,781,"167,800","20,000","2,321",0.431,0.775,,,67.5101567,17.35345328,0.371445154,7.47533372,3.876958793,2.228670923,1.183981428,,Secondary
213,81,"1,426,759","788,660","40,042",1422,782,9,14,0.635,"15,652",1423,782,"116,565","7,906","2,275",0.440,0.848,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
214,149,"582,721","807,466","47,213",576,799,12,16,0.840,"17,493",577,814,"59,036","12,000","1,486",0.673,0.925,,,55.21625951,23.94873849,14.3071686,2.633159792,0.600720865,0,3.293952743,,Secondary
215,14,"789,429","803,643","13,071",788,801,3,5,"1,000","5,831",788,801,"120,964","3,000","1,662",0.602,0.966,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
216,41,"493,768","806,061","23,556",490,802,7,8,0.928,"8,485",491,803,"135,000","7,000","1,112",0.899,0.872,,,68.05883898,29.38008931,0.945626478,0.236406619,0,0.420278434,0.958760179,,Theta
217,84,"1,247,869","808,893","34,042",1243,803,10,12,0.911,"13,454",1243,814,"41,987","8,944","1,544",0.648,0.903,,,66.81668167,16.57165717,13.94139414,0,0,0.570057006,2.100210021,,Unknown
218,22,"1,663,136","807,000","16,485",1661,804,4,6,"1,000","6,708",1662,804,"116,565","4,000","1,484",0.674,0.957,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
219,161,"771,649","813,705","51,698",764,805,14,17,0.757,"18,868",765,821,"57,995","11,961","1,596",0.627,0.873,,,68.00680068,30.0630063,0.410041004,0.320032003,0.150015002,0,1.050105011,,Theta
220,64,"1,590,641","810,656","34,627",1586,805,10,10,0.671,"11,402",1588,805,"127,875","10,000","1,101",0.908,0.805,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A
